4,Context of the organization,NA,4.1,Understanding the organization and its context,"The organization shall determine external and internal issues that are relevant to its purpose and its strategic direction and that affect its ability to achieve the intended results of its quality management system.

The organization shall monitor and review the information about these external and internal issues.

NOTE 1 Understanding the external context can be facilitated by considering issues arising from legal;
technological; competitive; market; cultural; social; and economic environments; whether international; national;
regional or local.

NOTE 2 Understanding the internal context can be facilitated by considering issues related to values; culture
knowledge and performance of the organization.",NA
4,Context of the organization,NA,4.2,Quality management system,"Due to their impact or potential impact on the organisation's ability to consistently provide products and services that meet customer and applicable statutory and regulatory requirements; the organization shall determine: 

a) the interested parties that are relevant to the quality management system; 
b) the requirements of these interested parties that are relevant to the quality management system. 

The organization shall monitor and review the information about these interested parties and their relevant requirements.",NA
4,Context of the organization,NA,4.3,Determining the scope of the quality management system,"The organization shall determine the boundaries and applicability of the quality management system to establish its scope.

When determining this scope; the organization shall consider: 
a) the external and internal issues referred to in 4.1
b) the requirements of relevant interested parties referred to in 4.2;
c) the products and services of the organization.

Where a requirement of this International Standard within the determined scope can be applied; then it shall be applied by the organization. If any requirements of this International Standard cannot be applied; this shall not affect the organization's ability or responsibility to ensure conformity of products and services.

The scope shall be available and be maintained as documented information stating the:
 
a) products and services covered by the quality management system; 
b) justification for any instance where a requirement of this International Standard cannot be applied.",NA
4,Context of the organization,NA,4.4,Quality management system and its processes,"The organization shall establish; implement; maintain and continually improve a quality management
system; including the processes needed and their interactions; in accordance with the requirements of
this International Standard.

The organization shall determine the processes needed for the quality management system and their
application throughout the organization and shall determine:

a) the inputs required and the outputs expected from these processes; 
b) the sequence and interaction of these processes;
c) the criteria; methods; including measurements and related performance indicators needed to ensure the effective operation; and control of these processes;
d) the resources needed and ensure their availability;
e) the assignment of the responsibilities and authorities for these processes;
f) the risks and opportunities in accordance with the requirements of 6.1; and plan and implement the appropriate actions to address them;
g) the methods for monitoring; measuring; as appropriate; and evaluation of processes and; if needed; the changes to processes to ensure that they achieve intended results;
h) opportunities for improvement of the processes and the quality management system.

The organization shall maintain documented information to the extent necessary to support the operation of processes and retain documented information to the extent necessary to have confidence that the processes are being carried out as planned.",NA
5,Leadership,NA,5.1.1,Leadership and commitment,"Top management shall demonstrate leadership and commitment with respect to the quality
management system by:

a) taking accountability of the effectiveness of the quality management system;
b) ensuring that the quality policy and quality objectives are established for the quality management system and are compatible with the strategic direction and the context of the organization;
c) ensuring that the quality policy is communicated; understood and applied within the organization;
d) ensuring the integration of the quality management system requirements into the organization's business processes;
e) promoting awareness of the process approach;
f) ensuring that the resources needed for the quality management system are available;
g) communicating the importance of effective quality management and of conforming to the quality management system requirements;
h) ensuring that the quality management system achieves its intended results;
i) engaging; directing and supporting persons to contribute to the effectiveness of the quality management system;
j) promoting continual improvement;
k) supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.",NA
5,Leadership,NA,5.1.2,Customer Focus,"Top management shall demonstrate leadership and commitment with respect to customer focus by ensuring that:

a) customer requirements and applicable statutory and regulatory requirements are determined and met;
b) the risks and opportunities that can affect conformity of products and services and the ability to enhance customer satisfaction are determined and addressed;
c) the focus on consistently providing products and services that meet customer and applicable statutory and regulatory requirements is maintained;
d) the focus on enhancing customer satisfaction is maintained",NA
5,Leadership,NA,5.2.1,Quality Policy,"Top management shall establish; review and maintain a quality policy that:

a) is appropriate to the purpose and context of the organization;
b) provides a framework for setting and reviewing quality objectives;
c) includes a commitment to satisfy applicable requirements;
d) includes a commitment to continual improvement of the quality management system.",NA
5,Leadership,NA,5.2.2,Quality Policy,"The quality policy shall:

a) be available as documented information;
b) be communicated; understood and applied within the organization;
c) be available to relevant interested parties; as appropriate.",NA
5,Leadership,NA,5.3,Organizational roles; responsibilities and authorities,"Top management shall ensure that the responsibilities and authorities for relevant roles are assigned; communicated and understood within the organization.

Top management shall assign the responsibility and authority for: 

a) ensuring that the quality management system conforms to the requirements of this International Standard;
b) ensuring that the processes are delivering their intended outputs;
c) reporting on the performance of the quality management system; on opportunities for improvement and on the need for change or innovation; and especially for reporting to top management;
d) ensuring the promotion of customer focus throughout the organization;
e) ensuring that the integrity of the quality management system is maintained when changes to the quality management system are planned and implemented.",NA
6,Planning for the quality management system,NA,6.1.1,Actions to address risks and opportunities,"When planning for the quality management system; the organization shall consider the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and opportunities that need to be addressed to:

a) give assurance that the quality management system can achieve its intended results;
b) prevent; or reduce; undesired effects;
c) achieve continual improvement.",NA
